TITLE,FRAME_SIZE,PRDCT_SIZE,PRDCT_CL,PRDCT_CL_NM,WRITER,NATION,LOCATION,IMAGE_URL,IMAGE_NM,RDCNT,WRHOUSNG_DT,ACQS_DT
무제_1,35.3x45cm,29.7x40cm,7,드로잉,정승운,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/abe92403-1c9b-413f-873c-6c05d2e23fed.jpg,082_정승운_무제_1_soma_1810_acv__DSC0148.jpg,9,20061201,20061228
무제_1,68.9x116.9cm,68x111cm,7,드로잉,오원배,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/3896bfa5-360b-4506-a474-f1df6aa9a14c.jpg,072_오원배_무제_1_soma_1810_acv__DSC0164.jpg,11,20051201,20051230
무제_1,51x43cm,42x35cm,7,드로잉,옥경(기증),대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/e037b309-12a9-4e2d-8da9-cf3dd91e253d.jpg,170_옥경_옥경-무제_1_soma_1810_acv__DSC0388.jpg,11,20060529,20100204
드로잉1,34.1x40.7cm,24.5x18.4cm,7,드로잉,하인두,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/8e1c8e89-80ae-4d28-9a73-0e12ad37035c.jpg,150_하인두_드로잉1_앞_soma_1810_acv__DSC0126.jpg,21,20081230,20090130
공원을 위한 포즈_1,183x63cm,178x58cm,5,사진,박진영,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/3c27d3da-f4e6-46a9-92d6-3cb0c811c0d4.jpg,041_박진영_공원을 위한 포즈-1_soma_1810_acv__DSC0135 copy.jpg,2,20051201,20051230
순환의 여행_1,62.5x82.5cm,56x76cm,7,드로잉,차기율,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/1cc8b16e-6515-4e0c-b056-c5bf235be1eb.jpg,106_차기율_순환의 여행_1_soma_1810_acv__DSC0306.jpg,31,20070301,20070402
스치던 풍경_1,83.7x85.8cm,72x75cm,5,사진,최중원,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/f0b17a46-2559-4662-8f58-8141645b8aed.jpg,047_최중원_스치던 풍경_1_soma_1810_acv__DSC0185.jpg,5,20051201,20051230
도봉산 만장봉1,48.9x39cm,35x25cm,7,드로잉,박고석,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/f3025813-433b-428b-ad9a-7063215e145c.jpg,143_박고석_도봉산 만장봉1_soma_1810_acv__DSC0179.jpg,7,20081230,20090129
도봉산 선인봉1,48.9x39cm,33x25cm,7,드로잉,박고석,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/28/4c009157-eb84-469b-af93-d0a8a93ac39e.jpg,145_박고석_도봉산 선인봉1_soma_1810_acv__DSC0175.jpg,5,20081230,20090129
이상한 나라의 동물들_보이지 않았던 동물들_1,가변크기,가변크기,8,오브제,백기은,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/102d4aff-f1db-4dff-b621-ae6e916c498d.jpg,108_백기은_이상한 나라의 동물들_보이지 않았던 동물들_1_soma_1810_acv__DSC0638.jpg,11,20070301,20070402
선긋기_1,37x29.3cm,25.5x17.8cm,7,드로잉,박한진,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/b1c4e4eb-e0ff-41f8-8e09-ffde9c1e55c5.jpg,115_박한진_선긋기_1_soma_1810_acv__DSC0427.jpg,5,20071201,20071218
계몽적인 그림_1,58.2x56.6cm,39.5x38cm,7,드로잉,김지원,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/0c5477e7-d56c-419a-8b53-1f7a70337419.jpg,074_김지원_계몽적인 그림_1_soma_1810_acv__DSC0089.jpg,10,20051201,20051230
몽촌토성_1,102x75.8cm,99x72.7cm,5,사진,이갑철,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/d590007c-b7e6-4628-a8bb-83b9668e9226.jpg,056_이갑철_몽촌토성_1_soma_1810_acv__DSC0314.jpg,6,20051201,20051230
몽촌토성_1,102x82cm,99x79cm,5,사진,김광수,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/1d6bea38-44d2-4e32-855c-45dbe1232661.jpg,033_김광수_몽촌토성_1_soma_1810_acv__DSC0128 1.jpg,6,20051201,20051230
역사속으로_1,92x68cm,82x57cm,5,사진,서남규,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/dbf8ac70-a335-49a6-a51e-b603a5bdcb0b.jpg,045_서남규_역사속으로_1_soma_1810_acv__DSC0340.jpg,2,20051201,20051230
올림픽공원_1,158x125cm,150x117cm,5,사진,임선영,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/3a4dca9c-60cd-441d-bd23-51f03ac7c6ea.jpg,060_임선영_올림픽공원_1_soma_1810_acv__DSC0135.jpg,15,20051201,20051230
"인체드로잉1, 2",-,34&times;52cm x 2점,7,드로잉,전수천,대한민국,미술관 수장고,/manage/upload_files/collection/2021/07/12/e1772f10-7a38-41e1-b078-b0336944be7c.bmp,"전수천_인체드로잉 1,2_종이 위에 먹_34x52cm_1993.bmp",45,20141224,20141224
